x,f(x),lagrange,spline,err_lagrange,err_spline
0.1,-9.90033134750884,-9.90033134750884,-9.90033134750884,0,0
0.1049,-9.42837071812187,0.386091060548778,-9.42636068243473,9.81446177867064,0.00201003568713531
0.1098,-8.99810621031249,0.398563768180899,-8.99204052110176,9.39666997849339,0.00606568921072714
0.1147,-8.60419488276115,0.395062342173364,-8.59420415889841,8.99925722493452,0.00999072386274236
0.1196,-8.24216942776535,0.385984628684148,-8.22968489121316,8.6281540564495,0.0124845365521846
0.1245,-7.90826585745971,0.381650516107492,-7.89531601343451,8.28991637356721,0.0129498440252069
0.1294,-7.5992903401414,0.395268460773577,-7.58793082095092,7.99455880091497,0.0113595191904796
0.1343,-7.31251518782826,0.395161792099408,-7.30436260915088,7.70767697992767,0.00815257867737884
0.1392,-7.04559681195181,0.407781107778365,-7.04144467342288,7.45337791973018,0.00415213852893537
0.1441,-6.79651041812891,0.399175014052099,-6.7960103091554,7.19568543218101,0.000500108973509938
0.149,-6.56349758665395,0.395401369906572,-6.56511897034739,6.95889895656052,0.00162138369343534
0.1539,-6.34502386684579,0.408269371468256,-6.34737028495028,6.75329323831405,0.002346418104481
0.1588,-6.13974422230735,0.381943205462908,-6.14200597158028,6.52168742777026,0.00226174927292533
0.1637,-5.94647468209939,0.395798004526527,-5.94826987673001,6.34227268662591,0.00179519463062316
0.1686,-5.76416893529703,0.395687077145057,-5.7654058468921,6.15985601244208,0.00123691159507544
0.1735,-5.59189889164951,-0.698482120455125,-5.59265772855918,4.89341677119439,0.000758836909671601
0.1784,-5.42883844580231,0.399513572017983,-5.42926936822387,5.82835201782029,0.000430922421567281
0.1833,-5.27424984561548,0.396023889790793,-5.2744846123788,5.67027373540627,0.000234766763321126
0.1882,-5.12747218997439,0.376120966108837,-5.12754730751659,5.50359315608322,7.51175422069039e-05
0.1931,-4.9879116778351,0.413840442407252,-4.98771962049873,5.40175212024235,0.000192057336373175
0.198,-4.85503330513442,0.396001465574699,-4.85448895894493,5.25103477070911,0.000544346189485623
0.2029,-4.72835376480481,0.395927891069383,-4.72749409204783,5.12428165587419,0.000859672756977403
0.2078,-4.60743535130709,0.376343054856371,-4.60637659772982,4.98377840616346,0.00105875357726504
0.2127,-4.49188070769244,0.399906058570982,-4.49077805391332,4.89178676626342,0.00110265377911745
0.2176,-4.3813282823872,0.396632924758645,-4.38034003852071,4.77796120714585,0.000988243866491878
0.2225,-4.27544838629181,0.392740724575484,-4.2747041294744,4.6681891108673,0.000744256817414524
0.2274,-4.17393975964527,0.369368442794156,-4.17351190469679,4.54330820243943,0.000427854948484629
0.2323,-4.07652657338656,0.396997776026517,-4.07640494211028,4.47352434941307,0.000121631276281065
0.2372,-3.98295580218329,0.39678931524212,-3.98302858683396,4.37974511742541,7.27846506718421e-05
0.2421,-3.89299491647119,0.41996006540763,-3.89312492655094,4.31295498187882,0.000130010079750331
0.247,-3.80642984920454,0.400756308614236,-3.80653875745989,4.20718615781878,0.000108908255353146
0.2519,-3.72306319991193,0.397146650124939,-3.72311983748616,4.12020985003687,5.66375742270253e-05
