eps;iterations;root;f_root
1.000000e-01;2;4.4035164553e-01;5.8705015511e-03
1.000000e-02;2;4.4035164553e-01;5.8705015511e-03
1.000000e-03;3;4.3741639475e-01;-1.1769155216e-03
1.000000e-04;4;4.3800485251e-01;2.3609854234e-04
1.000000e-05;6;4.3791048187e-01;9.4992858962e-06
1.000000e-06;7;4.3790573223e-01;-1.9054303760e-06
