delta;iterations;root;f_root
1.000000e-01;0;4.5394359021e-01;3.8476793989e-02
1.000000e-02;1;4.3648422136e-01;-3.4154156495e-03
1.000000e-03;2;4.3775134318e-01;-3.7262294693e-04
1.000000e-04;2;4.3790613409e-01;-9.4049369248e-07
1.000000e-05;2;4.3790660531e-01;1.9098287563e-07
