eps;iterations;root;f_root
1.000000e-01;1;4.5394359021e-01;3.8476793989e-02
1.000000e-02;2;4.3712444307e-01;-1.8779819581e-03
1.000000e-03;3;4.3790715228e-01;1.5043595882e-06
1.000000e-04;3;4.3790715228e-01;1.5043595882e-06
1.000000e-05;3;4.3790715228e-01;1.5043595882e-06
1.000000e-06;4;4.3790652579e-01;5.2482684865e-11
