delta;iterations;root;f_root
1.000000e-01;3;4.3750000000e-01;-9.7615675533e-04
1.000000e-02;3;4.3750000000e-01;-9.7615675533e-04
1.000000e-03;10;4.3798828125e-01;1.9630838774e-04
1.000000e-04;13;4.3792724609e-01;4.9753048019e-05
1.000000e-05;17;4.3790817261e-01;3.9543396114e-06
