eps;iterations;root;f_root
1.000000e-01;1;4.3757592650e-01;-7.9383803877e-04
1.000000e-02;2;4.3790652089e-01;-1.1717317561e-08
1.000000e-03;2;4.3790652089e-01;-1.1717317561e-08
1.000000e-04;3;4.3790652577e-01;0.0000000000e+00
1.000000e-05;3;4.3790652577e-01;0.0000000000e+00
1.000000e-06;3;4.3790652577e-01;0.0000000000e+00
