delta;iterations;root;f_root
1.000000e-01;1;4.5796201148e-01;4.8106973290e-02
1.000000e-02;1;4.3694301723e-01;-2.3136507145e-03
1.000000e-03;1;4.3778377700e-01;-2.9474275498e-04
1.000000e-04;2;4.3790674753e-01;5.3248503395e-07
1.000000e-05;2;4.3790678695e-01;6.2712988469e-07
